"sample","file","treatment","time"
"sample_4","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/181018_K00102_0266_BH2KWKBBXY/fastq/PM18024/LAI78A4_S64_L005_R1_001.fastq.gz","untreated","t2"
"sample_4","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/181018_K00102_0266_BH2KWKBBXY/fastq/PM18024/LAI78A4_S64_L005_R2_001.fastq.gz","untreated","t2"
"sample_4","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/180928_K00102_0259_BH2GKYBBXY/fastq/PM18024/LAI78A4_S9_L002_R2_001.fastq.gz","untreated","t2"
"sample_4","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/181018_K00102_0266_BH2KWKBBXY/fastq/PM18024/LAI78A4_S64_L006_R2_001.fastq.gz","untreated","t2"
"sample_4","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/181018_K00102_0266_BH2KWKBBXY/fastq/PM18024/LAI78A4_S64_L006_R1_001.fastq.gz","untreated","t2"
"sample_6","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/180928_K00102_0259_BH2GKYBBXY/fastq/PM18024/LAI78A6_S6_L001_R2_001.fastq.gz","untreated","t1"
"sample_6","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/180928_K00102_0259_BH2GKYBBXY/fastq/PM18024/LAI78A6_S6_L002_R1_001.fastq.gz","untreated","t1"
"sample_6","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/180928_K00102_0259_BH2GKYBBXY/fastq/PM18024/LAI78A6_S6_L001_R1_001.fastq.gz","untreated","t1"
"sample_6","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/181018_K00102_0266_BH2KWKBBXY/fastq/PM18024/LAI78A6_S61_L005_R1_001.fastq.gz","untreated","t1"
"sample_6","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/181018_K00102_0266_BH2KWKBBXY/fastq/PM18024/LAI78A6_S61_L005_R2_001.fastq.gz","untreated","t1"
"sample_6","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/181018_K00102_0266_BH2KWKBBXY/fastq/PM18024/LAI78A6_S61_L006_R1_001.fastq.gz","untreated","t1"
"sample_6","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/181018_K00102_0266_BH2KWKBBXY/fastq/PM18024/LAI78A6_S61_L006_R2_001.fastq.gz","untreated","t1"
"sample_6","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/180928_K00102_0259_BH2GKYBBXY/fastq/PM18024/LAI78A6_S6_L002_R2_001.fastq.gz","untreated","t1"
"sample_7","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/181018_K00102_0266_BH2KWKBBXY/fastq/PM18024/LAI78A7_S56_L005_R1_001.fastq.gz","untreated","t2"
